id;text;category;monoCategory;multiCategories
1;06 20 16 11 20 et internet  ;rien;;[]
2;a pas à cause d' image ma ligne  ;rien;;[]
3;a plus de ligne fixe  ;rien;;[]
4;a plus internet  ;rien;;[]
5;a un abonnement internet je devais avoir cinq ans pour faire sur mon portable  ;rien;;[]
6;abonnement plus sur internet  ;rien;;[]
7;absence de connexion à internet  ;rien;;[]
8;absence de liaison internet  ;rien;;[]
9;accès internet  ;rien;;[]
10;accès internet coupé  ;rien;;[]
11;accès à internet  ;rien;;[]
12;accéder à internet  ;rien;;[]
13;acquérir une ligne portable ;rien;;[]
14;activation de ligne téléphonique   ;rien;;[]
15;activer la ligne d' orange  ;rien;;[]
16;adresse internet  ;rien;;[]
17;adsl demande de ligne  ;rien;;[]
18;adsl j' ai un problème avec internet  ;rien;;[]
19;adsl ne marche plus de ligne  ;rien;;[]
20;ah ben j' appelle pour une prolongation de ma livebox indique accès internet  ;rien;;[]
21;ah ben je n' arrive pas à me connecter à internet  ;rien;;[]
22;ah ben ligne marche plus de  ;rien;;[]
23;ah c' est en service internet plus  ;rien;;[]
24;ah je ne reçois plus internet  ;rien;;[]
25;ah ligne ai pas activée  ;rien;;[]
26;ah oui je n' arrive pas je n' arrive pas à me connecter avec la allo oui euh ligne merci  ;rien;;[]
27;ah panne ligne  ;rien;;[]
28;ai des appels service pour internet  ;rien;;[]
29;ai pas de ligne  ;rien;;[]
30;ai pas à ma ligne fixe  ;rien;;[]
31;ai pas à me connecte ai un internet  ;rien;;[]
32;ai pas à me connecter à internet  ;rien;;[]
33;ai plus d' internet  ;rien;;[]
34;ai plus d' internet et de téléphone  ;rien;;[]
35;ai plus de ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
36;ai plus de ligne pas ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
37;ai plus de ligne téléphonique  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
38;ai plus de ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
39;ai plus de ligne telephonique  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
40;ai plus internet  ;rien;;[]
41;ai plus reçois plus euh à internet  ;rien;;[]
42;probleme de ligne tel  ;rien;;[]
43;ai un problème avec ma ligne fixe  ;rien;;[]
44;06 20 16 11 20 et internet  ;rien;;[]
45;a pas à cause d' image ma ligne  ;rien;;[]
46;a plus de ligne fixe  ;rien;;[]
47;a plus internet  ;rien;;[]
48;a un abonnement internet je devais avoir cinq ans pour faire sur mon portable  ;rien;;[]
49;abonnement plus sur internet  ;rien;;[]
50;absence de connexion à internet  ;rien;;[]
51;absence de liaison internet  ;rien;;[]
52;accès internet  ;rien;;[]
53;accès internet coupé  ;rien;;[]
54;accès à internet  ;rien;;[]
55;accéder à internet  ;rien;;[]
56;acquérir une ligne portable ;rien;;[]
57;activation de ligne téléphonique   ;rien;;[]
58;activer la ligne d' orange  ;rien;;[]
59;adresse internet  ;rien;;[]
60;adsl demande de ligne  ;rien;;[]
61;adsl j' ai un problème avec internet  ;rien;;[]
62;adsl ne marche plus de ligne  ;rien;;[]
63;ah ben j' appelle pour une prolongation de ma livebox indique accès internet  ;rien;;[]
64;ah ben je n' arrive pas à me connecter à internet  ;rien;;[]
65;ah ben ligne marche plus de  ;rien;;[]
66;ah c' est en service internet plus  ;rien;;[]
67;ah je ne reçois plus internet  ;rien;;[]
68;ah ligne ai pas activée  ;rien;;[]
69;ah oui je n' arrive pas je n' arrive pas à me connecter avec la allo oui euh ligne merci  ;rien;;[]
70;ah panne ligne  ;rien;;[]
71;ai des appels service pour internet  ;rien;;[]
72;ai pas de ligne  ;rien;;[]
73;ai pas à ma ligne fixe  ;rien;;[]
74;ai pas à me connecte ai un internet  ;rien;;[]
75;ai pas à me connecter à internet  ;rien;;[]
76;ai plus d' internet  ;rien;;[]
77;ai plus d' internet et de téléphone  ;rien;;[]
78;ai plus de ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
79;ai plus de ligne pas ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
80;ai plus de ligne téléphonique  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
81;ai plus de ligne  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
82;ai plus de ligne telephonique  ;rien;{id1000036, id1000079, id1000003, ...};"[""{id1000036, id1000079, id1000003, ...}""]"
83;ai plus internet  ;rien;;[]
84;ai plus reçois plus euh à internet  ;rien;;[]
85;probleme de ligne tel  ;rien;;[]
86;ai un problème avec ma ligne fixe  ;rien;;[]
